DATE,CORESTICKM158SFRBATL
2010-04-01,0.96985412333333333333
2010-07-01,0.76766765333333333333
2010-10-01,1.05671648333333333333
2011-01-01,1.9569260666666667
2011-04-01,1.4214430666666667
2011-07-01,2.4829533666666667
2011-10-01,2.3384216333333333
2012-01-01,2.2665658666666667
2012-04-01,1.8837354666666667
2012-07-01,2.3972310666666667
2012-10-01,1.8964257666666667
2013-01-01,2.2244805666666667
2013-04-01,0.99708978666666666667
2013-07-01,2.4532932000000000
2013-10-01,1.8194873333333333
2014-01-01,2.0229607333333333
2014-04-01,2.2803082000000000
2014-07-01,1.6958142333333333
2014-10-01,1.8883059333333333
2015-01-01,2.1354165333333333
2015-04-01,2.7455509666666667
2015-07-01,2.3543533666666667
2015-10-01,2.5450137000000000
2016-01-01,2.4868480000000000
2016-04-01,2.8936920000000000
